recrutiment_year,recruitment_type,test,gender,value,awarded_score
2021,mlli,1000mt_run,m,< 3’30”1,2
2021,mlli,1000mt_run,m,3’30”1 – 3’40”0,"1,6"
2021,mlli,1000mt_run,m,3’40”1 – 4’00”0,"1,2"
2021,mlli,1000mt_run,m,4’00”1 – 4’10”0,"0,8"
2021,mlli,1000mt_run,m,4’10”1 – 4’20”0,"0,4"
2021,mlli,1000mt_run,m,///,0
2021,mlli,1000mt_run,m,> 4’20”0,esito sfavorevole
2021,mlli,sit_ups,m,> 85,2
2021,mlli,sit_ups,m,71 – 85,"1,6"
2021,mlli,sit_ups,m,56 – 70,"1,2"
2021,mlli,sit_ups,m,41 – 55,"0,8"
2021,mlli,sit_ups,m,30 – 40,"0,4"
2021,mlli,sit_ups,m,< 30,0
2021,mlli,sit_ups,m,,esito sfavorevole
2021,mlli,100mt_run,m,< 12”6,2
2021,mlli,100mt_run,m,12”6 – 13”0,"1,6"
2021,mlli,100mt_run,m,13”1 – 13”5,"1,2"
2021,mlli,100mt_run,m,13”6 – 14”0,"0,8"
2021,mlli,100mt_run,m,14”1 – 15”5,"0,4"
2021,mlli,100mt_run,m,> 15”5,0
2021,mlli,100mt_run,m,,esito sfavorevole
2021,mlli,push_ups,m,>50,2
2021,mlli,push_ups,m,46 - 50,"1,6"
2021,mlli,push_ups,m,40 - 45,"1,2"
2021,mlli,push_ups,m,30 - 39,"0,8"
2021,mlli,push_ups,m,20 29,"0,4"
2021,mlli,push_ups,m,< 20,0
2021,mlli,push_ups,m,,esito sfavorevole
2021,mlli,1000mt_run,f,< 4’00”1,2
2021,mlli,1000mt_run,f,4’00”1 – 4’10”0,"1,6"
2021,mlli,1000mt_run,f,4’10”1 – 4’20”0,"1,2"
2021,mlli,1000mt_run,f,4’20”1 – 4’40”0,"0,8"
2021,mlli,1000mt_run,f,4’40”1 – 5’00”0,"0,4"
2021,mlli,1000mt_run,f,///,0
2021,mlli,1000mt_run,f,> 5’00”0,esito sfavorevole
2021,mlli,sit_ups,f,> 70,2
2021,mlli,sit_ups,f,56 – 70,"1,6"
2021,mlli,sit_ups,f,41 – 55,"1,2"
2021,mlli,sit_ups,f,31 – 40,"0,8"
2021,mlli,sit_ups,f,20 – 30,"0,4"
2021,mlli,sit_ups,f,< 20,0
2021,mlli,sit_ups,f,,esito sfavorevole
2021,mlli,100mt_run,f,< 15”1,2
2021,mlli,100mt_run,f,15”1 – 16”0,"1,6"
2021,mlli,100mt_run,f,16”1 – 17”0,"1,2"
2021,mlli,100mt_run,f,17”1 – 18”0,"0,8"
2021,mlli,100mt_run,f,18”1 – 19”0,"0,4"
2021,mlli,100mt_run,f,> 19”0,0
2021,mlli,100mt_run,f,,esito sfavorevole
2021,mlli,push_ups,f,>35,2
2021,mlli,push_ups,f,30 - 35,"1,6"
2021,mlli,push_ups,f,25 - 29,"1,2"
2021,mlli,push_ups,f,20 - 24,"0,8"
2021,mlli,push_ups,f,15 – 19,"0,4"
2021,mlli,push_ups,f,<15,0
2021,mlli,push_ups,f,,esito sfavorevole
